U.S.A.	Stati Uniti d'America	<http://it.wikipedia.org/wiki/Stati_Uniti_d'America>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
F.i.s.co.	F.I.S.Co.	<http://it.wikipedia.org/wiki/F.I.S.Co.>	
Shout!	Shout (The Isley Brothers)	<http://it.wikipedia.org/wiki/Shout_(The_Isley_Brothers)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Shout!	Shout (gruppo musicale)	<http://it.wikipedia.org/wiki/Shout_(gruppo_musicale)>	<http://schema.org/MusicGroup>,<http://schema.org/Person>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person> 
Shout!	Shout (Tears for Fears)	<http://it.wikipedia.org/wiki/Shout_(Tears_for_Fears)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Shout!	Shout (Shout for England)	<http://it.wikipedia.org/wiki/Shout_(Shout_for_England)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Shout!	Shout (film)	<http://it.wikipedia.org/wiki/Shout_(film)>	<http://schema.org/CreativeWork>,<http://schema.org/Movie>,<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work> 
F.I.C.K.	Federazione Italiana Canoa Kayak	<http://it.wikipedia.org/wiki/Federazione_Italiana_Canoa_Kayak>	
A.C.n.	Avanti Cristo	<http://it.wikipedia.org/wiki/Avanti_Cristo>	
What-A-Cartoon!	What a Cartoon!	<http://it.wikipedia.org/wiki/What_a_Cartoon!>	
V.A.C.	Milizia Volontaria Anti Comunista	<http://it.wikipedia.org/wiki/Milizia_Volontaria_Anti_Comunista>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Fuego!	Fuego (programma televisivo)	<http://it.wikipedia.org/wiki/Fuego_(programma_televisivo)>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
S.n.o.b.	S.N.O.B.	<http://it.wikipedia.org/wiki/S.N.O.B.>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
D.V.A.S.	Personaggi di Kill Bill	<http://it.wikipedia.org/wiki/Personaggi_di_Kill_Bill>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://dbpedia.org/ontology/FictionalCharacter>,<http://schema.org/Person> 
S.p.a.b.	Society for the Protection of Ancient Buildings	<http://it.wikipedia.org/wiki/Society_for_the_Protection_of_Ancient_Buildings>	
P.Beauv.	Ambroise Marie François Joseph Palisot de Beauvois	<http://it.wikipedia.org/wiki/Ambroise_Marie_François_Joseph_Palisot_de_Beauvois>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Beauv.	Ambroise Marie François Joseph Palisot de Beauvois	<http://it.wikipedia.org/wiki/Ambroise_Marie_François_Joseph_Palisot_de_Beauvois>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
C.I.R.A.	Continuity Irish Republican Army	<http://it.wikipedia.org/wiki/Continuity_Irish_Republican_Army>	
C.I.R.A.	Centro Italiano Ricerche Aerospaziali	<http://it.wikipedia.org/wiki/Centro_Italiano_Ricerche_Aerospaziali>	<http://schema.org/Organization>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation> 
C.I.R.A.	Gruppi archeologici d'Italia	<http://it.wikipedia.org/wiki/Gruppi_archeologici_d'Italia>	
J.E.T.	Jet (gruppo musicale italiano)	<http://it.wikipedia.org/wiki/Jet_(gruppo_musicale_italiano)>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
F.I.F.A.	Fédération Internationale de Football Association	<http://it.wikipedia.org/wiki/Fédération_Internationale_de_Football_Association>	
S.W.W.A.A.T.S.	Success Will Write Apocalypse Across the Sky	<http://it.wikipedia.org/wiki/Success_Will_Write_Apocalypse_Across_the_Sky>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
F.A.V.	Ferrovia Alta Valtellina	<http://it.wikipedia.org/wiki/Ferrovia_Alta_Valtellina>	
M.B.C.	Concentrazione minima battericida	<http://it.wikipedia.org/wiki/Concentrazione_minima_battericida>	
O.N.U.	Organizzazione delle Nazioni Unite	<http://it.wikipedia.org/wiki/Organizzazione_delle_Nazioni_Unite>	
Strike!	Strike! (The Baseballs)	<http://it.wikipedia.org/wiki/Strike!_(The_Baseballs)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Strike!	Strike (gruppo musicale)	<http://it.wikipedia.org/wiki/Strike_(gruppo_musicale)>	<http://schema.org/MusicGroup>,<http://schema.org/Person>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person> 
Strike!	Strike (album Strike)	<http://it.wikipedia.org/wiki/Strike_(album_Strike)>	
Strike!	Strike! (compilation)	<http://it.wikipedia.org/wiki/Strike!_(compilation)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Strike!	Strike (album)	<http://it.wikipedia.org/wiki/Strike_(album)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
M.s.l.m.	Livello del mare	<http://it.wikipedia.org/wiki/Livello_del_mare>	
Vegas!	Albi di Dampyr (2002)	<http://it.wikipedia.org/wiki/Albi_di_Dampyr_(2002)>	
Vathek!	Albi di Dampyr (2003)	<http://it.wikipedia.org/wiki/Albi_di_Dampyr_(2003)>	
G'olè!	G'olé!	<http://it.wikipedia.org/wiki/G'olé!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
T.P.C.	Ministero per i Beni e le Attività Culturali	<http://it.wikipedia.org/wiki/Ministero_per_i_Beni_e_le_Attività_Culturali>	
C.v.d.	Come volevasi dimostrare	<http://it.wikipedia.org/wiki/Come_volevasi_dimostrare>	
C.I.C.	Confederazione italiana agricoltori	<http://it.wikipedia.org/wiki/Confederazione_italiana_agricoltori>	
QH.	Coenzima Q	<http://it.wikipedia.org/wiki/Coenzima_Q>	
Whistle!	Dream Team (anime)	<http://it.wikipedia.org/wiki/Dream_Team_(anime)>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
¡Alarma!	Alarma Records	<http://it.wikipedia.org/wiki/Alarma_Records>	
¡Alarma!	¡Alarma! (album)	<http://it.wikipedia.org/wiki/¡Alarma!_(album)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
¡Alarma!	¡Alarma! (rivista)	<http://it.wikipedia.org/wiki/¡Alarma!_(rivista)>	
A.R.P.	Aereo Radio Pilotato	<http://it.wikipedia.org/wiki/Aereo_Radio_Pilotato>	
Fisch.	Friedrich Ernst Ludwig von Fischer	<http://it.wikipedia.org/wiki/Friedrich_Ernst_Ludwig_von_Fischer>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Gueldenst.	Johann Anton Güldenstädt	<http://it.wikipedia.org/wiki/Johann_Anton_Güldenstädt>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Dash!	Automodelli - Mini 4WD	<http://it.wikipedia.org/wiki/Automodelli_-_Mini_4WD>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
P.A.L.O.P.	Paesi africani di lingua ufficiale portoghese	<http://it.wikipedia.org/wiki/Paesi_africani_di_lingua_ufficiale_portoghese>	
C.R.I.	Croce Rossa Italiana	<http://it.wikipedia.org/wiki/Croce_Rossa_Italiana>	
J.C.A.	Jean Claude Ades	<http://it.wikipedia.org/wiki/Jean_Claude_Ades>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
S.l.d.m.	Livello del mare	<http://it.wikipedia.org/wiki/Livello_del_mare>	
S.H.E.	S.H.E	<http://it.wikipedia.org/wiki/S.H.E>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Benth.	George Bentham	<http://it.wikipedia.org/wiki/George_Bentham>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
B.A.D.	Big Audio Dynamite	<http://it.wikipedia.org/wiki/Big_Audio_Dynamite>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
N.A.T.O.	Organizzazione del Trattato dell'Atlantico del Nord	<http://it.wikipedia.org/wiki/Organizzazione_del_Trattato_dell'Atlantico_del_Nord>	
Cav.	Cavalierato	<http://it.wikipedia.org/wiki/Cavalierato>	
C.E.L.T.	Casa Editrice La Tribuna	<http://it.wikipedia.org/wiki/Casa_Editrice_La_Tribuna>	
S.S.P.	Società San Paolo	<http://it.wikipedia.org/wiki/Società_San_Paolo>	
R.S.V.P.	Répondez, s'il vous plaît	<http://it.wikipedia.org/wiki/Répondez,_s'il_vous_plaît>	
F.I.S.T.	F.I.S.T	<http://it.wikipedia.org/wiki/F.I.S.T>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Help!	Help! (album The Beatles)	<http://it.wikipedia.org/wiki/Help!_(album_The_Beatles)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Help!	The Help (film)	<http://it.wikipedia.org/wiki/The_Help_(film)>	<http://schema.org/CreativeWork>,<http://schema.org/Movie>,<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work> 
Help!	Help! (singolo The Beatles)	<http://it.wikipedia.org/wiki/Help!_(singolo_The_Beatles)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Help!	Help! (casa discografica)	<http://it.wikipedia.org/wiki/Help!_(casa_discografica)>	
Help!	Help! (programma televisivo)	<http://it.wikipedia.org/wiki/Help!_(programma_televisivo)>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow> 
Help!	Help (Lloyd Banks)	<http://it.wikipedia.org/wiki/Help_(Lloyd_Banks)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
P.S.I.U.P.	Partito Socialista Italiano di Unità Proletaria	<http://it.wikipedia.org/wiki/Partito_Socialista_Italiano_di_Unità_Proletaria>	
T.V.U.M.D.B.	T.V.U.M.D.B./Mio cuggino	<http://it.wikipedia.org/wiki/T.V.U.M.D.B./Mio_cuggino>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
I.C.	Istituto della carità	<http://it.wikipedia.org/wiki/Istituto_della_carità>	
Rchb.f.	Heinrich Gustav Reichenbach	<http://it.wikipedia.org/wiki/Heinrich_Gustav_Reichenbach>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Cu.m.	Metro cubo	<http://it.wikipedia.org/wiki/Metro_cubo>	
C.N.R.S.	Centre National de la Recherche Scientifique	<http://it.wikipedia.org/wiki/Centre_National_de_la_Recherche_Scientifique>	
Bang!	!Bang!	<http://it.wikipedia.org/wiki/!Bang!>	
Bang!	Bang (The Jesus Lizard)	<http://it.wikipedia.org/wiki/Bang_(The_Jesus_Lizard)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Bang!	Bang! (gioco di carte)	<http://it.wikipedia.org/wiki/Bang!_(gioco_di_carte)>	
Bang!	Bang (film)	<http://it.wikipedia.org/wiki/Bang_(film)>	<http://schema.org/CreativeWork>,<http://schema.org/Movie>,<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work> 
Bang!	Gun (bastone)	<http://it.wikipedia.org/wiki/Gun_(bastone)>	
Bang!	BANG! (Cinema Bizarre)	<http://it.wikipedia.org/wiki/BANG!_(Cinema_Bizarre)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Bang!	Punta alle 8	<http://it.wikipedia.org/wiki/Punta_alle_8>	<http://schema.org/CreativeWork>,<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow> 
Bang!	Bang! (Nightmare of You)	<http://it.wikipedia.org/wiki/Bang!_(Nightmare_of_You)>	<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum>,<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work> 
Caparezza?!	?! (album)	<http://it.wikipedia.org/wiki/?!_(album)>	
S.F.W.	S.F.W. - So Fucking What	<http://it.wikipedia.org/wiki/S.F.W._-_So_Fucking_What>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
P.Ay.	Premio Ayaaaak	<http://it.wikipedia.org/wiki/Premio_Ayaaaak>	
T.U.L.P.S.	Testo unico delle leggi di pubblica sicurezza	<http://it.wikipedia.org/wiki/Testo_unico_delle_leggi_di_pubblica_sicurezza>	
T.u.l.p.s.	Testo unico delle leggi di pubblica sicurezza	<http://it.wikipedia.org/wiki/Testo_unico_delle_leggi_di_pubblica_sicurezza>	
U.I.G.O.S.	DIGOS	<http://it.wikipedia.org/wiki/DIGOS>	
Lampre-N.G.C.	Lampre-Merida	<http://it.wikipedia.org/wiki/Lampre-Merida>	
F.E.R.T.	Fert	<http://it.wikipedia.org/wiki/Fert>	
Ach.	Erik Acharius	<http://it.wikipedia.org/wiki/Erik_Acharius>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
M.V.S.N.	Milizia volontaria per la sicurezza nazionale	<http://it.wikipedia.org/wiki/Milizia_volontaria_per_la_sicurezza_nazionale>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
L.f.	Carl von Linné jr.	<http://it.wikipedia.org/wiki/Carl_von_Linné_jr.>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
N.E.C.	Nijmegen Eendracht Combinatie	<http://it.wikipedia.org/wiki/Nijmegen_Eendracht_Combinatie>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/SoccerClub>,<http://dbpedia.org/ontology/SportsTeam>,<http://schema.org/Organization>,<http://schema.org/SportsTeam> 
C.I.F.I.	Collegio Ingegneri Ferroviari Italiani	<http://it.wikipedia.org/wiki/Collegio_Ingegneri_Ferroviari_Italiani>	
S.P.E.C.I.A.L.	Fallout (serie)	<http://it.wikipedia.org/wiki/Fallout_(serie)>	
O.T.	Organizzazione Todt	<http://it.wikipedia.org/wiki/Organizzazione_Todt>	
D.Ö.A.V.	Deutscher und Österreichischer Alpenverein	<http://it.wikipedia.org/wiki/Deutscher_und_Österreichischer_Alpenverein>	
G.a.F.	Guardia alla Frontiera	<http://it.wikipedia.org/wiki/Guardia_alla_Frontiera>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/MilitaryUnit>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
Ha!-Ha!-Ha!	Ha! Ha! Ha!	<http://it.wikipedia.org/wiki/Ha!_Ha!_Ha!>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
E.S.T.	Esbjörn Svensson Trio	<http://it.wikipedia.org/wiki/Esbjörn_Svensson_Trio>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
A.T.I.	Associazione temporanea di imprese	<http://it.wikipedia.org/wiki/Associazione_temporanea_di_imprese>	
Co.Tra.L.	COTRAL	<http://it.wikipedia.org/wiki/COTRAL>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
A.G.E.S.C.I.	Associazione Guide e Scouts Cattolici Italiani	<http://it.wikipedia.org/wiki/Associazione_Guide_e_Scouts_Cattolici_Italiani>	
P.R.A.	Pubblico Registro Automobilistico	<http://it.wikipedia.org/wiki/Pubblico_Registro_Automobilistico>	
T.U.	Testo unico	<http://it.wikipedia.org/wiki/Testo_unico>	
S.r.o.	SRO	<http://it.wikipedia.org/wiki/SRO>	
H.V.V.	Haagse Voetbal Vereniging	<http://it.wikipedia.org/wiki/Haagse_Voetbal_Vereniging>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/SoccerClub>,<http://dbpedia.org/ontology/SportsTeam>,<http://schema.org/Organization>,<http://schema.org/SportsTeam> 
Cannonball!	Cannonball (film)	<http://it.wikipedia.org/wiki/Cannonball_(film)>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Ebersbach/Sa.	Ebersbach-Neugersdorf	<http://it.wikipedia.org/wiki/Ebersbach-Neugersdorf>	<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Place> 
T.U.I.R.	Testo unico delle imposte sui redditi	<http://it.wikipedia.org/wiki/Testo_unico_delle_imposte_sui_redditi>	
Legami!	Légami!	<http://it.wikipedia.org/wiki/Légami!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Atame!	Légami!	<http://it.wikipedia.org/wiki/Légami!>	<http://dbpedia.org/ontology/Film>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/Movie> 
Reichenbach/O.L.	Reichenbach (Oberlausitz)	<http://it.wikipedia.org/wiki/Reichenbach_(Oberlausitz)>	<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Place> 
N.P.H.	Nuestros Pequeños Hermanos	<http://it.wikipedia.org/wiki/Nuestros_Pequeños_Hermanos>	
Müll.Arg.	Johannes Müller Argoviensis	<http://it.wikipedia.org/wiki/Johannes_Müller_Argoviensis>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
Torr.	John Torrey	<http://it.wikipedia.org/wiki/John_Torrey>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Person>,<http://schema.org/Person> 
L.I.V.E.N.T.	Live (New Trolls)	<http://it.wikipedia.org/wiki/Live_(New_Trolls)>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
B.o.B.	B.o.B	<http://it.wikipedia.org/wiki/B.o.B>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Now!	NOW	<http://it.wikipedia.org/wiki/NOW>	
Durarara!	Durarara!!	<http://it.wikipedia.org/wiki/Durarara!!>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
Durarara!!!	Durarara!!	<http://it.wikipedia.org/wiki/Durarara!!>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Manga>,<http://dbpedia.org/ontology/Comics>,<http://schema.org/CreativeWork> 
Lights...Camera...Revolution!	Lights Camera Revolution	<http://it.wikipedia.org/wiki/Lights_Camera_Revolution>	<http://dbpedia.org/ontology/Album>,<http://dbpedia.org/ontology/MusicalWork>,<http://dbpedia.org/ontology/Work>,<http://schema.org/CreativeWork>,<http://schema.org/MusicAlbum> 
W.C.M.	World Class Manufacturing	<http://it.wikipedia.org/wiki/World_Class_Manufacturing>	
C.S.A.I.	Commissione Sportiva Automobilistica Italiana	<http://it.wikipedia.org/wiki/Commissione_Sportiva_Automobilistica_Italiana>	
C.U.B.A.	Club Universitario de Buenos Aires	<http://it.wikipedia.org/wiki/Club_Universitario_de_Buenos_Aires>	
Sachsenb./Irbersd.	Frankenberg/Sa.	<http://it.wikipedia.org/wiki/Frankenberg/Sa.>	<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Place> 
U.A.R.	Federazione di rugby a 15 dell'Argentina	<http://it.wikipedia.org/wiki/Federazione_di_rugby_a_15_dell'Argentina>	
U.R.B.A.	Unión de Rugby de Buenos Aires	<http://it.wikipedia.org/wiki/Unión_de_Rugby_de_Buenos_Aires>	
H.E.A.T.	H.E.A.T	<http://it.wikipedia.org/wiki/H.E.A.T>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Starz!	Starz (rete televisiva)	<http://it.wikipedia.org/wiki/Starz_(rete_televisiva)>	
A.i.d.S.	Alles ist die Sekte	<http://it.wikipedia.org/wiki/Alles_ist_die_Sekte>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
Kids'WB!	Kids' WB	<http://it.wikipedia.org/wiki/Kids'_WB>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
Branchie!	Branchie (romanzo)	<http://it.wikipedia.org/wiki/Branchie_(romanzo)>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/WrittenWork>,<http://purl.org/ontology/bibo/Book>,<http://dbpedia.org/ontology/Book>,<http://schema.org/CreativeWork>,<http://schema.org/Book> 
A.T.C.	A Touch of Class	<http://it.wikipedia.org/wiki/A_Touch_of_Class>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
P.v.	PV	<http://it.wikipedia.org/wiki/PV>	
A.E.R.	AER (azienda)	<http://it.wikipedia.org/wiki/AER_(azienda)>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Company>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/Organization> 
C2H8N2.	Etilendiammina	<http://it.wikipedia.org/wiki/Etilendiammina>	<http://dbpedia.org/ontology/ChemicalCompound>,<http://dbpedia.org/ontology/ChemicalSubstance> 
C.A.S.I.	Club Atlético de San Isidro	<http://it.wikipedia.org/wiki/Club_Atlético_de_San_Isidro>	
Supergulp!	SuperGulp!	<http://it.wikipedia.org/wiki/SuperGulp!>	<http://dbpedia.org/ontology/Work>,<http://dbpedia.org/ontology/TelevisionShow>,<http://schema.org/CreativeWork> 
P.U.T.S.	People Under the Stairs	<http://it.wikipedia.org/wiki/People_Under_the_Stairs>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
C.M.W.	Compton's Most Wanted	<http://it.wikipedia.org/wiki/Compton's_Most_Wanted>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
S.M.O.M..	Sovrano militare ordine di Malta	<http://it.wikipedia.org/wiki/Sovrano_militare_ordine_di_Malta>	
U.N.K.L.E.	DJ Shadow	<http://it.wikipedia.org/wiki/DJ_Shadow>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Artist>,<http://dbpedia.org/ontology/MusicalArtist>,<http://dbpedia.org/ontology/Person>,<http://schema.org/MusicGroup>,<http://schema.org/Person> 
